Date,site,IGBPname,Landcover,ID,co2,LE,Rln,Prcp,Pa,Rs,Tavg,VPD,U2,LAI,Albedo,Emiss
2003-9-4,US-Cop,GRA,10,127,370.26,5.0515,337.619875,0,85.43541667,246.425,25.69541667,2.125791667,2.264583333,0.23398,0.21917,0.98
2013-7-6,AU-Tum,EBF,2,22,343.7615,31.2173125,315,4.8,87.18208333,54.375,0.739166667,0.020725,3.6875,4.4353,0.11947,0.98285
2014-6-23,IT-CA1,DBF,4,91,399.8501667,109.4550879,370.8255417,0,99.30833333,267.5362292,21.35008333,1.22616875,2.235708333,1.138,0.19073,0.98543
2010-10-17,US-Los,WET,11,132,396.1366667,13.64697917,277.677,0,96.04970833,167.6433958,4.952020833,0.4596875,1.9398125,3.0763,0.107,0.98453
2013-6-26,US-Myb,WET,11,137,340.8764583,142.7072083,379.0563333,0,101.7025,418.8249375,22.10270833,0.807604167,3.127833333,1.0568,0.16367,0.98489
2013-8-27,US-Tw3,CRO,12,151,398.5958333,109.1339167,330.7266875,0,101.1289583,302.3258125,22.03920833,1.3816875,3.475791667,1.0919,0.19137,0.98478
2011-5-23,BE-Vie,MF,5,29,399.2652708,68.27884198,288.7124167,0,96.70625,330.703125,13.47125,0.726954167,3.104875,2.6839,0.131,0.983
2011-5-7,AT-Neu,GRA,10,3,556.0246042,110.6500204,268.0929167,0,91.04854167,295.7372917,12.625625,0.817660417,1.094229167,2.6289,0.153,0.98616
2011-4-7,CH-Cha,GRA,10,43,468.353875,90.52478,304.7906667,0,97.9839375,262.3754167,13.97902083,0.683795833,0.889416667,1.6271,0.169,0.9857
2012-1-5,US-Ton,WSA,8,148,410.9284792,4.477845833,284.03075,0,99.89791667,115.0015417,12.50270833,0.747375,1.831104167,1.4071,0.13533,0.98508
2007-9-29,AU-Fog,WET,11,12,362.0740833,116.8929158,372.1041667,0,100.47875,269.5,27.31041667,1.509266667,2.09375,0.82497,0.12,0.984
2009-10-28,IT-MBo,GRA,10,100,396.6294167,30.37981623,266.4133333,0,84.7714375,131.5477708,7.087416667,0.441635417,1.2445,1.7487,0.159,0.98554
2013-11-8,AU-Rig,GRA,10,18,374.7296875,21.0819625,369.3125,0,98.49729167,155.9583333,19.5075,1.09508125,3.184166667,1.2155,0.21223,0.985
2009-9-9,IT-Col,DBF,4,94,383.0844167,27.34305279,279.8669792,0,85.379625,159.6471667,9.982083333,0.42379375,1.680229167,1.0325,0.16,0.98428
2008-6-11,CN-Cng,GRA,10,50,325.0993333,61.91484125,336.8715,0,98.7833125,351.2062708,23.84104167,2.431735417,2.981020833,0.74823,0.188,0.9854
2013-6-30,US-Wkg,GRA,10,164,389.001625,10.38997792,395.4,0.508,84.63977083,265.3247292,28.95877083,3.170375,4.558625,0.32444,0.19924,0.97958
2006-5-1,US-Wkg,GRA,10,164,375.1331875,3.309513333,297.3666667,0,84.91779167,341.6171042,22.60145833,2.3884375,2.389208333,0.24251,0.21393,0.97954
2009-9-19,US-GLE,ENF,1,129,386.015,36.68235417,229.7491875,0,69.43929167,245.929375,10.0585625,0.936916667,3.264979167,0.16093,0.088,0.9895
2009-8-20,BE-Vie,MF,5,29,387.9574167,99.19558688,376.9328333,1.5,96.18125,210.453125,24.48729167,1.504625,4.372395833,3.0376,0.134,0.98261
2009-9-29,DE-Kli,CRO,12,65,384.4480417,4.81525,363.0104167,5.86,96.2446875,27.01383333,11.5024375,0.123758333,5.0453125,0.62157,0.164,0.98517
2014-9-24,US-GLE,ENF,1,129,397.914125,54.90325,255.7585,0,69.87460417,241.157875,10.96435417,0.6654375,2.364416667,0.50867,0.096,0.98767
2012-9-16,US-Var,GRA,10,156,398.952375,1.972479167,343.8754167,0,99.08483333,266.5269583,24.96929167,2.624333333,1.1693125,1.4739,0.19606,0.98498
2004-3-6,ZA-Kru,SAV,9,165,361.1175,41.425475,404.7392083,0,97,62.207,19.36929167,0.48155625,8.096541667,0.73953,0.14817,0.98529
2008-10-9,US-Ton,WSA,8,148,383.40475,15.5635,274.0097083,0,99.04166667,213.7755,15.9710625,1.1720625,3.4435625,0.87873,0.17163,0.98526
2005-2-17,US-Ton,WSA,8,148,399.5223958,0.911895833,314.6489167,0.254,98.54375,88.58772917,13.28472917,0.521277083,1.5835625,1.7468,0.14754,0.98497
2003-10-15,IT-Ren,ENF,1,103,385.0019167,25.52032841,233.2124583,0.046,82.77454167,142.8152292,3.752104167,0.2309125,0.914354167,1.0951,0.094,0.98399
2003-8-18,US-Wi3,DBF,4,160,341.9223542,74.2682125,391.395375,0,97.05460417,257.2742708,25.19466667,1.297452083,1.882979167,4.9197,0.148,0.98213
2004-10-5,US-Me1,ENF,1,133,376.3442889,10.04954467,302.0989167,3.169,90.66297917,188.3276667,9.897354167,0.585985417,1.108875,0.83368,0.090221,0.987
2009-10-31,ES-LgS,OSH,7,79,339.0127083,30.0325,324.0794167,0,92.00029167,207.153625,9.589791667,0.592789583,1.644375,0.67555,0.108,0.98754
2007-4-14,DK-Sor,DBF,4,76,391.4148542,36.36051271,277.193375,0,102.258375,250.4083333,12.38979167,0.63678125,3.451020833,2.4051,0.156,0.985
2008-6-6,IT-Ro1,DBF,4,104,400.0910833,70.88050312,325.9075833,0.597,99.20625,266.0308333,18.22104167,0.5255125,2.1339375,1.5943,0.17978,0.98426
2010-12-30,AU-Wom,EBF,2,25,366.0332708,122.1317204,313.4583333,0,92.95875,396.7708333,17.85208333,1.04275625,2.564375,3.5156,0.128,0.98277
2007-5-5,US-Me2,ENF,1,134,375.0270833,52.37003146,245.4800208,0,87.529375,321.2166667,4.029166667,0.4200625,2.590625,2.1941,0.10845,0.98714
2006-8-1,FR-Gri,CRO,12,86,368.5447708,54.68635229,368.9,3,99.57291667,185.6306042,18.29395833,0.5339375,4.7804375,1.1729,0.191,0.98494
2005-1-12,IT-BCi,CRO,12,90,390.0379167,14.62837625,284.0230417,0,103.3251875,57.26404167,9.532791667,0.374183333,1.3119375,1.0731,0.16131,0.985
2007-10-10,US-ARM,CRO,12,125,406.3151458,57.19717313,310.8790833,0,97.9069375,219.1920833,17.956875,0.9191875,2.157666667,0.19592,0.18457,0.98526
2012-3-22,US-ARM,CRO,12,125,393.3473125,39.14650979,321.4993958,4.9,97.08291667,134.5989375,9.410458333,0.1898125,2.492791667,0.72666,0.19112,0.98494
2005-3-16,US-KS2,CSH,6,131,387.1869792,58.97052167,392.0165833,9.4,101.0916667,123.567125,21.980625,0.392333333,1.94375,1.5774,0.092,0.98653
2007-9-18,IT-BCi,CRO,12,90,390.8005833,27.90566354,369.58125,0,101.44375,219.7396042,24.041875,1.1378625,1.621354167,0.72915,0.15142,0.985
2007-9-21,DE-Kli,CRO,12,65,380.408625,30.76746646,279.3985833,0,96.90127083,190.7878125,12.457125,0.546097917,1.8970625,1.5015,0.133,0.98508
2013-2-21,IT-Noe,CSH,6,101,468.1795625,36.02389475,331.395,0.2,100.5230417,136.6534583,9.489020833,0.210670833,0.9713125,1.1677,0.085,0.9834
2004-6-15,IT-Ro1,DBF,4,104,393.8397292,94.2573001,327.4310833,0,99.75,298.3148958,18.46895833,0.506197917,1.8010625,1.7836,0.18307,0.98464
2003-5-3,ZA-Kru,SAV,9,165,387.0370833,30.67070871,378.0395833,0,97.63333333,137.3328125,21.1175,0.7673,2.910125,0.93865,0.14558,0.98515
2004-9-8,US-SRM,WSA,8,146,372.1177083,52.17526265,379.65,0,88.88345833,260.6691875,27.470625,2.69925,2.399416667,0.32263,0.17563,0.974
2006-2-6,FR-LBr,ENF,1,87,391.3509167,6.261230458,250.204375,2.8,101.485,108.660625,1.774354167,0.112189583,3.031145833,2.5804,0.104,0.98492
2004-10-7,US-MMS,DBF,4,136,376.5558333,54.56129167,321.6875,0,99.315,193.1300833,18.37875,1.09475,3.641,3.7724,0.141,0.98257
2004-9-9,US-ARM,CRO,12,125,393.1003542,26.90105682,333.363,0,97.97291667,277.1915208,20.77958333,1.423916667,2.128208333,1.1939,0.19593,0.98508
